stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
186105,48.86000061035156,20.329999923706055,0,0,1,0,0,1,0.3199999928474426,11,3,3,0,0,1,0,0,0,0,0,198605,5,0,0,0,0,1,0,0,-3
357101,50.58000183105469,41.220001220703125,0,0,0,1,0,0,0.550000011920929,11,6,7,0,0,0,0,1,0,0,1,198610,5,0,0,0,0,1,0,1,1
277108,19.059999465942383,16.90999984741211,0,0,0,0,0,0,0.3700000047683716,10,5,6,0,0,0,0,0,0,0,0,198601,4,0,0,0,1,0,0,NA,NA
309212,19.8700008392334,20.260000228881836,0,0,1,0,0,1,-0.5799999833106995,6,3,3,0,0,1,0,0,0,0,0,198509,3,0,0,1,0,0,0,0,-3
240104,30.260000228881836,11.75,0,0,0,1,0,0,-0.30000001192092896,9,2,7,0,1,0,0,0,0,0,1,198605,5,0,0,0,0,1,0,1,1
303234,23.709999084472656,10.359999656677246,0,1,0,0,0,0,-0.44999998807907104,9,2,2,0,1,0,0,0,0,0,0,198512,NA,NA,NA,NA,NA,NA,NA,0,-3
330210,71.88999938964844,44.2599983215332,0,0,0,1,0,0,0.4300000071525574,10,4,7,0,0,0,1,0,0,0,1,198512,5,0,0,0,0,1,0,1,1
110224,47.15999984741211,39.88999938964844,0,0,0,1,0,0,0.8199999928474426,11,6,7,0,0,0,0,1,0,0,1,198511,5,0,0,0,0,1,0,1,1
416106,50.119998931884766,40.43000030517578,0,0,0,1,0,0,0.7799999713897705,11,6,7,0,0,0,0,1,0,0,1,198605,5,0,0,0,0,1,0,1,2
324205,43.650001525878906,28.200000762939453,0,0,0,1,0,0,0.33000001311302185,11,6,7,0,0,0,0,1,0,0,1,198501,NA,NA,NA,NA,NA,NA,NA,0,-3
187116,51.2400016784668,30.239999771118164,0,0,1,0,0,1,0.28999999165534973,7,6,3,0,0,0,0,1,0,0,0,198605,5,0,0,0,0,1,0,0,-3
102112,22.239999771118164,14.010000228881836,0,0,1,0,0,1,0.6299999952316284,7,8,3,0,0,0,0,0,0,1,0,198512,4,0,0,0,1,0,0,1,4
404218,66.13999938964844,34.380001068115234,0,0,0,1,0,0,0.8600000143051147,12,6,7,0,0,0,0,1,0,0,1,198608,5,0,0,0,0,1,0,1,2
255119,27.959999084472656,24.530000686645508,0,0,0,1,0,0,1.6299999952316284,11,8,7,0,0,0,0,0,0,1,0,198405,6,0,0,0,0,0,1,NA,NA
252218,70.62999725341797,47.13999938964844,0,0,0,0,1,1,0.8899999856948853,10,6,5,0,0,0,0,1,0,0,0,198510,5,0,0,0,0,1,0,1,2
